ranking_A,ranking_B,forward_w_A,forward_ratio_A,forward_w_B,forward_ratio_B,forward_w_mean,forward_w_min,forward_w_max,forward_w_gap,n,mean_signed,var_signed,std_signed,mean_abs,var_abs,std_abs,median_signed,median_abs,mad_signed,mad_abs,min_signed,max_signed,min_abs,max_abs,p50_abs,p90_abs,p95_abs,p99_abs
connectome_paper_fas_ranking,connectome_hybrid_ranking-12cpu,34660410.0,0.8269777962428596,35463823.0,0.8461467764197491,35062116.5,34660410.0,35463823.0,803413.0,136648,0.0,429566888.02334464,20725.99546519647,10945.114601018675,309771354.39391243,17600.32256505296,2393.0,5647.0,4873.0,3784.5,-135921,127504,0,135921,5647.0,22269.0,35537.899999999965,98438.59999999998
connectome_paper_fas_ranking,connectome_hybrid_ranking-48cpu,34660410.0,0.8269777962428596,35463423.0,0.8461372326457863,35061916.5,34660410.0,35463423.0,803013.0,136648,0.0,428826449.7120192,20708.125209975413,11083.274998536386,305987465.01883745,17492.497392277564,2537.0,5897.0,5142.5,3878.0,-135921,128100,0,135921,5897.0,22348.300000000003,35900.649999999994,98355.06999999998
connectome_paper_fas_ranking,connectome_hybrid_ranking-24cpu,34660410.0,0.8269777962428596,35463349.0,0.8461354670476032,35061879.5,34660410.0,35463349.0,802939.0,136648,0.0,429845741.0447573,20732.721505985588,11101.20367659973,306609017.9754059,17510.254651929135,2425.0,5912.0,5177.0,3951.0,-135921,127551,0,135921,5912.0,22253.0,35882.94999999998,98701.9299999999
35435948,connectome_hybrid_ranking-48cpu,35435948.0,0.8454816946717182,35463423.0,0.8461372326457863,35449685.5,35435948.0,35463423.0,27475.0,136648,0.0,475734663.45360345,21811.34254129267,11802.545694046015,336434578.59355927,18342.153052288035,-6494.0,7815.0,4967.0,3800.5,-128483,131161,0,131161,7815.0,16808.300000000003,53538.29999999999,98824.94999999998
connectome_hybrid_ranking-48cpu,35452425,35463423.0,0.8461372326457863,35452425.0,0.8458748265806798,35457924.0,35452425.0,35463423.0,10998.0,136648,0.0,473349391.48742753,21756.594206985326,11826.506352087114,333483138.9914707,18261.5207195751,6468.0,7847.0,4989.0,3830.0,-132592,128548,0,132592,7847.0,17484.300000000003,52838.649999999994,98789.41999999998
35435948,connectome_hybrid_ranking-24cpu,35435948.0,0.8454816946717182,35463349.0,0.8461354670476032,35449648.5,35435948.0,35463349.0,27401.0,136648,0.0,477651212.95849186,21855.233079482176,11833.332211228852,337623461.73718566,18374.53296650518,-6554.0,7905.0,4761.0,3583.0,-128304,131161,0,131161,7905.0,16746.600000000006,53823.649999999994,98776.06
connectome_hybrid_ranking-24cpu,35452425,35463349.0,0.8461354670476032,35452425.0,0.8458748265806798,35457887.0,35452425.0,35463349.0,10924.0,136648,0.0,475344267.1965049,21802.391318305083,11863.829679175693,334593812.54001486,18291.90565632829,6530.0,7941.0,4822.0,3639.0,-132592,128419,0,132592,7941.0,17364.20000000001,53333.0,98769.12
35435948,connectome_hybrid_ranking-12cpu,35435948.0,0.8454816946717182,35463823.0,0.8461467764197491,35449885.5,35435948.0,35463823.0,27875.0,136648,0.0,486762560.3963761,22062.69612709145,11939.550904513788,344209684.59490013,18552.888847694318,-6421.0,7758.0,5143.0,4036.0,-127828,131161,0,131161,7758.0,16972.0,54512.84999999995,98846.59
connectome_hybrid_ranking-12cpu,35452425,35463823.0,0.8461467764197491,35452425.0,0.8458748265806798,35458124.0,35452425.0,35463823.0,11398.0,136648,0.0,484320674.66105616,22007.28685370044,11960.591973537848,341264914.30359817,18473.35687696197,6388.0,7790.0,5134.0,4044.0,-132592,128687,0,132592,7790.0,17642.300000000003,53714.59999999998,98851.12
35435948,bader,35435948.0,0.8454816946717182,35459266.0,0.8460380489748782,35447607.0,35435948.0,35459266.0,23318.0,136648,0.0,505104324.7001493,22474.526128489324,12322.447500146362,353261612.306286,18795.255047651946,-7674.0,8911.0,4336.0,3496.0,-130507,130037,0,130507,8911.0,15623.300000000003,63054.149999999936,98316.35999999999
bader,35452425,35459266.0,0.8460380489748782,35452425.0,0.8458748265806798,35455845.5,35452425.0,35459266.0,6841.0,136648,0.0,503887113.00604475,22447.42998666094,12356.569185059423,351202310.9808846,18740.392498047757,7585.0,8935.0,4440.0,3548.0,-132967,130818,0,132967,8935.0,16487.600000000006,62533.59999999998,98335.0
connectome_paper_fas_ranking_20260202_123552,bader,33799077.0,0.80642687759616,35459266.0,0.8460380489748782,34629171.5,33799077.0,35459266.0,1660189.0,136648,0.0,551978924.0782156,23494.231719258572,14219.008518236637,349798720.8365295,18702.906748324698,4291.5,9075.5,7314.5,5814.5,-135192,132794,0,135192,9075.5,27863.300000000003,51470.449999999924,98084.24999999997
connectome_paper_fas_ranking_20260202_123552,connectome_hybrid_ranking-12cpu,33799077.0,0.80642687759616,35463823.0,0.8461467764197491,34631450.0,33799077.0,35463823.0,1664746.0,136648,0.0,639857546.9451584,25295.405648954482,15585.31145717464,396955613.7280193,19923.744972469893,5905.0,9961.5,7177.0,5506.5,-135248,126382,0,135248,9961.5,29512.0,63975.0,106066.59
connectome_paper_fas_ranking_20260202_123552,connectome_hybrid_ranking-48cpu,33799077.0,0.80642687759616,35463423.0,0.8461372326457863,34631250.0,33799077.0,35463423.0,1664346.0,136648,0.0,640924774.2240208,25316.49213899945,15612.792459457878,397165485.84191614,19929.01116066515,5723.0,10019.0,7331.0,5625.0,-135248,128364,0,135248,10019.0,29655.600000000006,62994.0,106046.0
connectome_paper_fas_ranking_20260202_123552,connectome_hybrid_ranking-24cpu,33799077.0,0.80642687759616,35463349.0,0.8461354670476032,34631213.0,33799077.0,35463349.0,1664272.0,136648,0.0,641131003.7420819,25320.564838527633,15621.315657748375,397105500.8630673,19927.506137574448,5786.0,9961.0,7324.0,5687.0,-135248,125732,0,135248,9961.0,29801.300000000003,62167.59999999998,106053.59
connectome_paper_fas_ranking,35452425,34660410.0,0.8269777962428596,35452425.0,0.8458748265806798,35056417.5,34660410.0,35452425.0,792015.0,136648,0.0,739928697.3324454,27201.6304168049,16745.56218898191,459514844.3073848,21436.297355359315,4580.0,10349.0,8390.0,7590.0,-134287,133634,0,134287,10349.0,33218.600000000006,77320.14999999994,101104.18
35435948,connectome_paper_fas_ranking,35435948.0,0.8454816946717182,34660410.0,0.8269777962428596,35048179.0,34660410.0,35435948.0,775538.0,136648,0.0,745985931.4483051,27312.74302314407,16803.008298694454,463644843.5623104,21532.413788572576,-4577.0,10360.0,8397.5,7607.0,-135500,133807,0,135500,10360.0,33513.600000000006,77872.94999999998,101036.59
connectome_dimacs_hybrid_ranking_learning-48cpu,connectome_hybrid_ranking-48cpu,32275253.0,0.7700692980585268,35463423.0,0.8461372326457863,33869338.0,32275253.0,35463423.0,3188170.0,136648,0.0,983725282.046177,31364.39513279631,21015.566814003865,542071233.5323166,23282.42327448577,-1029.0,12838.0,12767.0,9471.0,-127649,128604,0,128604,12838.0,53521.10000000002,72664.0,106077.65
connectome_dimacs_hybrid_ranking_learning-48cpu,connectome_hybrid_ranking-12cpu,32275253.0,0.7700692980585268,35463823.0,0.8461467764197491,33869538.0,32275253.0,35463823.0,3188570.0,136648,0.0,987781345.9594285,31428.9889426852,21031.70988232539,545448525.3851252,23354.83944250367,-924.0,12836.5,12742.0,9501.5,-127553,127666,0,127666,12836.5,53894.40000000005,73486.44999999992,106022.65
connectome_dimacs_hybrid_ranking_learning-48cpu,connectome_hybrid_ranking-24cpu,32275253.0,0.7700692980585268,35463349.0,0.8461354670476032,33869301.0,32275253.0,35463349.0,3188096.0,136648,0.0,986287380.9939991,31405.212640483733,21066.255927638897,542500242.1852182,23291.634596679087,-831.0,13054.0,12900.5,9620.0,-127692,127677,1,127692,13054.0,53544.3,72855.0,106188.70999999999
connectome_dimacs_hybrid_ranking_learning-48cpu,connectome_paper_fas_ranking,32275253.0,0.7700692980585268,34660410.0,0.8269777962428596,33467831.5,32275253.0,34660410.0,2385157.0,136648,0.0,1024936216.314882,32014.62503786171,21342.24092558984,569444968.5889603,23863.046087810337,-2250.0,12947.0,12377.0,9259.0,-128933,135442,0,135442,12947.0,53350.600000000006,76714.29999999999,110419.65
connectome_paper_fas_ranking_20260202_123552,35452425,33799077.0,0.80642687759616,35452425.0,0.8458748265806798,34625751.0,33799077.0,35452425.0,1653348.0,136648,0.0,996605913.6115274,31569.065770331683,21546.315101574848,532362219.15517503,23072.975949260966,6851.5,15466.0,12519.5,9990.0,-134335,133013,0,134335,15466.0,48604.500000000015,81023.19999999995,104554.76999999999
35435948,connectome_paper_fas_ranking_20260202_123552,35435948.0,0.8454816946717182,33799077.0,0.80642687759616,34617512.5,33799077.0,35435948.0,1636871.0,136648,0.0,1001977192.1886892,31654.023317560903,21600.641838885313,535389464.3368866,23138.48448660557,-6868.5,15512.0,12533.5,10001.0,-135764,134340,0,135764,15512.0,49158.00000000009,81420.59999999998,104617.06
connectome_dimacs_hybrid_ranking_learning-48cpu,bader,32275253.0,0.7700692980585268,35459266.0,0.8460380489748782,33867259.5,32275253.0,35459266.0,3184013.0,136648,0.0,1074519015.1137521,32779.856850110744,22221.34664246824,580730768.5090176,24098.356137069135,-1359.0,14119.5,13961.0,9875.5,-129140,131333,0,131333,14119.5,55494.80000000002,78057.89999999997,109359.35999999999
connectome_paper_fas_ranking_20260202_123552,connectome_dimacs_hybrid_ranking_learning-48cpu,33799077.0,0.80642687759616,32275253.0,0.7700692980585268,33037165.0,32275253.0,33799077.0,1523824.0,136648,0.0,1043749469.9780165,32307.11175543268,22495.39552719396,537706650.0531185,23188.502540119283,4150.0,15047.0,13864.0,9698.0,-135899,128848,1,135899,15047.0,53108.0,74119.89999999997,107564.47999999998
connectome_adaptive_out_over_inplus1_learning_ranking,connectome_hybrid_ranking-48cpu,31535251.0,0.7524132685085212,35463423.0,0.8461372326457863,33499337.0,31535251.0,35463423.0,3928172.0,136648,0.0,1124581501.9248726,33534.78048123877,23166.45051519232,587897072.4520181,24246.58888281026,-2060.5,15220.0,14559.5,10916.5,-134012,129747,0,134012,15220.0,56995.3,76438.89999999997,109768.29999999999
connectome_adaptive_out_over_inplus1_learning_ranking,connectome_hybrid_ranking-24cpu,31535251.0,0.7524132685085212,35463349.0,0.8461354670476032,33499300.0,31535251.0,35463349.0,3928098.0,136648,0.0,1127400844.7555764,33576.79026880884,23200.804241554943,589123527.3006226,24271.866992479638,-1953.0,15531.0,14889.0,11111.0,-134012,129747,0,134012,15531.0,57233.0,76580.24999999997,110089.65999999997
connectome_adaptive_out_over_inplus1_learning_ranking,connectome_hybrid_ranking-12cpu,31535251.0,0.7524132685085212,35463823.0,0.8461467764197491,33499537.0,31535251.0,35463823.0,3928572.0,136648,0.0,1129440117.8012996,33607.14385069489,23208.928268251275,590785766.4404665,24306.084967358824,-2154.0,15130.0,14515.0,10897.0,-134012,129747,0,134012,15130.0,57421.3,76973.65,109583.53
connectome_adaptive_out_over_inplus1_learning_ranking,connectome_paper_fas_ranking,31535251.0,0.7524132685085212,34660410.0,0.8269777962428596,33097830.5,31535251.0,34660410.0,3125159.0,136648,0.0,1159765938.3026755,34055.33641446925,23711.56769217259,597527495.8821925,24444.375546988154,-3846.5,15925.0,14645.5,10506.0,-128937,131797,0,131797,15925.0,57359.20000000001,79329.94999999998,112791.59
bader,connectome_adaptive_out_over_inplus1_learning_ranking,35459266.0,0.8460380489748782,31535251.0,0.7524132685085212,33497258.5,31535251.0,35459266.0,3924015.0,136648,0.0,1200728711.9680638,34651.532606337394,24185.156709209063,615806906.9190638,24815.457016123313,2713.0,16352.5,15720.5,11287.5,-135222,129102,0,135222,16352.5,59256.3,81566.94999999998,111180.0
connectome_paper_fas_ranking_20260202_123552,connectome_adaptive_out_over_inplus1_learning_ranking,33799077.0,0.80642687759616,31535251.0,0.7524132685085212,32667164.0,31535251.0,33799077.0,2263826.0,136648,0.0,1201205140.2598941,34658.4064876026,24998.637345588664,576273271.1236337,24005.692473320443,5195.0,17980.0,16397.0,11195.0,-131546,128690,0,131546,17980.0,58141.3,79141.65,109844.59
connectome_dimacs_hybrid_ranking_learning-48cpu,35452425,32275253.0,0.7700692980585268,35452425.0,0.8458748265806798,33863839.0,32275253.0,35452425.0,3177172.0,136648,0.0,1344332590.5315847,36665.1413543107,25670.959648147065,685334421.2747899,26178.892667085634,1155.0,16432.5,16370.0,11081.5,-132912,135779,0,135779,16432.5,65334.20000000001,88106.29999999999,110023.24999999997
35435948,connectome_dimacs_hybrid_ranking_learning-48cpu,35435948.0,0.8454816946717182,32275253.0,0.7700692980585268,33855600.5,32275253.0,35435948.0,3160695.0,136648,0.0,1350648646.3613079,36751.17204064801,25727.09727182249,688765112.3274914,26244.334861594252,-1160.0,16417.0,16389.5,11102.0,-131824,132519,0,132519,16417.0,65570.20000000001,88408.14999999994,110005.47999999998
connectome_adaptive_out_over_inplus1_learning_ranking,35452425,31535251.0,0.7524132685085212,35452425.0,0.8458748265806798,33493838.0,31535251.0,35452425.0,3917174.0,136648,0.0,1319112236.7168639,36319.584754191004,25881.701042093555,649249787.8845571,25480.380450153352,202.0,17262.0,17273.0,11346.0,-127995,132442,0,132442,17262.0,64310.0,85310.0,108123.18
35435948,connectome_adaptive_out_over_inplus1_learning_ranking,35435948.0,0.8454816946717182,31535251.0,0.7524132685085212,33485599.5,31535251.0,35435948.0,3900697.0,136648,0.0,1326219857.5881827,36417.30162420306,25958.021544406067,652400975.0883334,25542.141160997708,-188.0,17320.0,17336.0,11410.0,-131916,127988,1,131916,17320.0,64632.3,85501.0499999999,108424.06
